// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56139	-59.0000	-0.151477	1.033923	9.722902	-0.110278	-0.117833	-0.035126	0.989342	0.063536	-0.006052	-0.130877
56140	-59.0000	-0.100211	1.021996	9.751620	-0.068600	-0.141819	-0.008413	0.989312	0.063357	-0.006302	-0.131175
56141	-59.0000	-0.110085	0.932561	9.674986	-0.104335	-0.214583	-0.095167	0.989261	0.063463	-0.006599	-0.131499
56142	-59.0000	-0.114663	1.147368	9.597361	-0.056182	-0.001259	-0.146469	0.989198	0.063717	-0.006821	-0.131835
56143	-59.0000	-0.136390	1.214443	9.535547	-0.061136	0.076346	-0.199646	0.989165	0.063463	-0.006961	-0.132201
56144	-68.0000	-0.133636	1.062603	9.523825	-0.097502	-0.061738	-0.229531	0.989127	0.063024	-0.006940	-0.132692
56145	-59.0000	-0.025069	1.016732	9.675473	-0.006466	-0.147877	-0.085034	0.989049	0.063014	-0.006847	-0.133282
56146	-59.0000	-0.065432	1.180699	9.765306	-0.003326	0.001732	0.023953	0.988922	0.063758	-0.006775	-0.133873
56147	-59.0000	-0.011890	1.551521	9.740780	0.147758	0.335004	0.044092	0.988839	0.064022	-0.006701	-0.134361
56148	-59.0000	-0.009812	1.401606	9.760767	0.112029	0.188268	0.045769	0.988823	0.063753	-0.006587	-0.134615
56149	-59.0000	0.050137	1.193795	9.808708	0.116074	-0.029750	0.067801	0.988822	0.063740	-0.006489	-0.134637
56150	-59.0000	0.010151	1.354834	9.799511	0.122566	0.132644	0.078393	0.988815	0.064067	-0.006329	-0.134534
56151	-59.0000	0.059305	1.477671	9.838405	0.205865	0.232599	0.131394	0.988871	0.063672	-0.006033	-0.134327
56152	-59.0000	0.157509	1.206416	9.843921	0.235902	-0.042414	0.103237	0.988977	0.062860	-0.005699	-0.133941
56153	-60.0000	0.027265	0.923831	9.786803	0.044630	-0.259575	0.014129	0.989091	0.062380	-0.005381	-0.133340
56154	-59.0000	-0.122404	1.020845	9.820918	-0.068475	-0.123492	0.060893	0.989208	0.062014	-0.005092	-0.132648
56155	-59.0000	-0.070076	0.989131	9.748936	-0.018206	-0.147856	-0.014584	0.989355	0.061139	-0.004813	-0.131970
56156	-59.0000	-0.026143	0.755045	9.703693	-0.029234	-0.361749	-0.086399	0.989471	0.060225	-0.004605	-0.131525
56157	-59.0000	-0.084577	0.718139	9.693152	-0.089996	-0.367090	-0.099953	0.989519	0.059685	-0.004473	-0.131413
56158	-59.0000	-0.090129	0.846867	9.720713	-0.059688	-0.236648	-0.057791	0.989507	0.059316	-0.004443	-0.131671
56159	-59.0000	-0.131808	0.973884	9.717789	-0.065864	-0.096128	-0.046027	0.989461	0.058910	-0.004511	-0.132197
56160	-59.0000	-0.112399	1.071587	9.805602	-0.023505	-0.009311	0.051902	0.989403	0.058532	-0.004622	-0.132796
56161	-59.0000	-0.102734	1.090891	9.802496	-0.010899	0.011659	0.050844	0.989339	0.058463	-0.004826	-0.133295
56162	-59.0000	-0.035641	1.266892	9.803211	0.097507	0.163883	0.070271	0.989286	0.058429	-0.004965	-0.133694
56163	-59.0000	-0.088241	1.260672	9.801010	0.043806	0.174590	0.067822	0.989266	0.058222	-0.005049	-0.133932
56164	-59.0000	-0.107139	1.275467	9.719964	0.030429	0.207066	-0.011045	0.989275	0.057980	-0.005125	-0.133968
56165	-59.0000	-0.106606	1.162706	9.704740	0.001242	0.104095	-0.038518	0.989295	0.057863	-0.005115	-0.133870
56166	-59.0000	-0.000577	1.170855	9.677964	0.107353	0.088561	-0.065148	0.989323	0.057774	-0.005013	-0.133708
56167	-59.0000	-0.015652	1.095608	9.708807	0.075069	0.019197	-0.042553	0.989356	0.057621	-0.004839	-0.133534
