// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56139	-54.0000	-0.240617	2.228218	9.968063	-0.118670	-0.148442	0.402449	-0.055416	0.009659	-0.106665	-0.992703
56140	-54.0000	-0.259994	2.066151	9.952394	-0.081423	0.007745	0.354909	-0.055267	0.009618	-0.107083	-0.992666
56141	-54.0000	-0.225241	2.090582	9.935816	-0.113854	-0.002192	0.342543	-0.055012	0.009315	-0.108012	-0.992583
56142	-54.0000	-0.333228	2.318530	9.983742	-0.022359	-0.208734	0.440001	-0.054717	0.008788	-0.108755	-0.992523
56143	-54.0000	-0.136682	2.087497	9.703304	-0.176273	-0.011053	0.111990	-0.054365	0.008119	-0.109153	-0.992504
56144	-63.0000	-0.207673	1.955990	9.615918	-0.075773	0.104013	0.001501	-0.054048	0.007419	-0.110155	-0.992416
56145	-54.0000	-0.311076	2.132963	9.523479	0.024621	-0.076828	-0.048653	-0.053790	0.006629	-0.111427	-0.992294
56146	-54.0000	-0.211863	2.320542	9.328197	-0.077765	-0.270613	-0.201978	-0.053490	0.005980	-0.112266	-0.992219
56147	-55.0000	-0.122505	2.266073	9.256791	-0.149071	-0.215954	-0.285389	-0.053066	0.005569	-0.112308	-0.992240
56148	-55.0000	-0.202068	2.057322	9.171332	-0.040080	-0.043183	-0.411450	-0.052588	0.005288	-0.111968	-0.992305
56149	-55.0000	-0.239888	1.861942	9.102295	0.024327	0.122377	-0.519648	-0.052182	0.004989	-0.111759	-0.992352
56150	-55.0000	-0.172134	1.850576	9.065655	-0.036586	0.131539	-0.559487	-0.051772	0.004800	-0.111896	-0.992359
56151	-55.0000	-0.146654	2.013357	9.184589	-0.076714	0.006874	-0.409185	-0.051304	0.004863	-0.112337	-0.992333
56152	-55.0000	-0.190631	2.242308	9.403575	-0.058114	-0.170109	-0.145258	-0.050867	0.005051	-0.112167	-0.992374
56153	-56.0000	-0.270155	1.822140	9.257635	0.060207	0.192443	-0.375722	-0.050575	0.005335	-0.111652	-0.992445
56154	-55.0000	-0.283401	1.740173	9.303583	0.076333	0.279148	-0.347941	-0.050505	0.005631	-0.111978	-0.992410
56155	-55.0000	-0.243017	2.018647	9.385743	0.001720	0.041134	-0.209331	-0.050666	0.006001	-0.112753	-0.992312
56156	-56.0000	-0.350910	2.464248	9.658833	0.054223	-0.332763	0.156016	-0.050844	0.006496	-0.112998	-0.992272
56157	-55.0000	-0.280643	2.197318	9.496526	0.002232	-0.105294	-0.061797	-0.050969	0.006984	-0.112345	-0.992337
56158	-55.0000	-0.323281	1.873116	9.409793	0.068182	0.178096	-0.214724	-0.051025	0.007497	-0.112067	-0.992361
56159	-55.0000	-0.235225	2.025445	9.523090	-0.045105	0.065261	-0.074069	-0.050990	0.007953	-0.112500	-0.992311
56160	-55.0000	-0.328943	2.368332	9.758806	0.003109	-0.219890	0.232367	-0.050933	0.008340	-0.112649	-0.992294
56161	-55.0000	-0.239753	2.223699	9.768450	-0.078665	-0.073404	0.207958	-0.050890	0.008730	-0.111974	-0.992369
