// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56139	-59.0000	9.665966	0.526368	2.477547	-0.403461	0.031185	0.171422	0.541128	-0.405256	-0.466214	-0.570607
56140	-59.0000	9.609449	0.547457	2.473057	-0.378062	0.040182	0.117704	0.541186	-0.405169	-0.466221	-0.570609
56141	-59.0000	9.548283	0.541884	2.487817	-0.379628	0.067620	0.061718	0.541147	-0.405139	-0.466125	-0.570745
56142	-59.0000	9.522764	0.546661	2.526453	-0.375051	0.109027	0.046941	0.541072	-0.405128	-0.465995	-0.570931
56143	-59.0000	9.492594	0.571219	2.499068	-0.347690	0.088410	0.013414	0.540974	-0.405155	-0.465890	-0.571089
56144	-59.0000	9.524633	0.531582	2.486295	-0.389796	0.066354	0.037517	0.540900	-0.405198	-0.465809	-0.571194
56145	-59.0000	9.498925	0.524815	2.565154	-0.397450	0.149124	0.031337	0.540773	-0.405317	-0.465747	-0.571281
56146	-59.0000	9.547524	0.459519	2.563722	-0.466390	0.136531	0.071789	0.540545	-0.405537	-0.465690	-0.571388
56147	-59.0000	9.576130	0.425694	2.578332	-0.502912	0.146504	0.099774	0.540303	-0.405777	-0.465677	-0.571457
56148	-59.0000	9.590213	0.361137	2.508937	-0.565644	0.078566	0.090406	0.540161	-0.405928	-0.465727	-0.571443
56149	-59.0000	9.565213	0.367948	2.487191	-0.556194	0.067220	0.061568	0.540063	-0.406014	-0.465829	-0.571391
56150	-59.0000	9.572399	0.369176	2.464521	-0.555393	0.047027	0.063056	0.539981	-0.406086	-0.465963	-0.571309
56151	-59.0000	9.559307	0.368760	2.446287	-0.554803	0.035796	0.045891	0.539960	-0.406090	-0.466118	-0.571198
56152	-59.0000	9.587558	0.402875	2.487537	-0.526038	0.072919	0.086271	0.539920	-0.406099	-0.466338	-0.571051
56153	-58.0000	9.677645	0.386646	2.445979	-0.549722	0.014559	0.161615	0.539923	-0.406089	-0.466586	-0.570852
56154	-58.0000	9.674533	0.370854	2.419536	-0.565358	-0.007953	0.150675	0.540111	-0.405890	-0.466839	-0.570609
56155	-58.0000	9.597432	0.346913	2.447699	-0.584972	0.037749	0.080677	0.540431	-0.405560	-0.467114	-0.570316
56156	-57.0000	9.569014	0.380591	2.432495	-0.550216	0.028539	0.052623	0.540845	-0.405086	-0.467411	-0.570017
56157	-57.0000	9.552198	0.473719	2.447563	-0.459079	0.046625	0.048678	0.541251	-0.404627	-0.467748	-0.569680
56158	-57.0000	9.577752	0.578007	2.465672	-0.360209	0.058105	0.087506	0.541633	-0.404228	-0.468007	-0.569387
56159	-57.0000	9.593489	0.630427	2.465879	-0.310397	0.053744	0.107685	0.541945	-0.403936	-0.468191	-0.569147
56160	-56.0000	9.575508	0.613319	2.428503	-0.324510	0.019627	0.079656	0.542220	-0.403680	-0.468317	-0.568963
56161	-57.0000	9.564837	0.595511	2.426567	-0.341799	0.017713	0.067182	0.542460	-0.403416	-0.468437	-0.568823
56162	-56.0000	9.571695	0.561629	2.450986	-0.378525	0.036676	0.076473	0.542615	-0.403196	-0.468540	-0.568746
56163	-56.0000	9.570145	0.597453	2.411123	-0.341889	-0.002135	0.068672	0.542679	-0.403102	-0.468569	-0.568727
56164	-56.0000	9.581839	0.589483	2.415720	-0.351647	-0.001582	0.080299	0.542641	-0.403099	-0.468541	-0.568789
56165	-56.0000	9.561214	0.620904	2.434248	-0.320093	0.021375	0.067848	0.542569	-0.403117	-0.468460	-0.568912
