// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56139	-66.0000	-0.793529	1.062678	10.000202	-0.197648	0.284507	0.269128	0.998103	0.041909	0.026912	-0.036185
56140	-66.0000	-0.801108	0.983437	10.041810	-0.212539	0.208665	0.304533	0.998117	0.041663	0.026723	-0.036230
56141	-66.0000	-0.806346	1.002683	9.969965	-0.223193	0.236703	0.234696	0.998117	0.041665	0.026576	-0.036323
56142	-66.0000	-0.759162	1.114554	10.079593	-0.164666	0.333689	0.349905	0.998103	0.041878	0.026474	-0.036547
56143	-66.0000	-0.806831	1.236345	10.023136	-0.205731	0.459506	0.306073	0.998085	0.042009	0.026558	-0.036817
56144	-66.0000	-0.837039	1.285954	10.050548	-0.227627	0.509431	0.338987	0.998080	0.041821	0.026728	-0.037062
56145	-66.0000	-0.834082	1.095062	10.037091	-0.236375	0.325174	0.310378	0.998078	0.041566	0.026849	-0.037302
56146	-66.0000	-0.692373	1.011809	9.988536	-0.101548	0.238676	0.247467	0.998068	0.041583	0.026944	-0.037494
56147	-66.0000	-0.663566	1.054201	10.059785	-0.062821	0.270584	0.320119	0.998046	0.041795	0.027141	-0.037696
56148	-66.0000	-0.673863	1.166605	10.129553	-0.056497	0.374160	0.399057	0.998032	0.041888	0.027355	-0.037796
56149	-66.0000	-0.692550	1.079082	10.104282	-0.079542	0.291430	0.368142	0.998034	0.041707	0.027486	-0.037863
56150	-66.0000	-0.741734	0.977236	10.158525	-0.131669	0.191540	0.417012	0.998032	0.041670	0.027528	-0.037918
56151	-66.0000	-0.723707	1.063354	10.218906	-0.102823	0.270529	0.482785	0.998025	0.041741	0.027580	-0.037999
56152	-66.0000	-0.605759	1.143936	10.170463	0.018294	0.347393	0.433913	0.998031	0.041533	0.027503	-0.038104
56153	-66.0000	-0.580796	0.957184	10.051040	0.019833	0.177079	0.298948	0.998051	0.041033	0.027290	-0.038294
56154	-66.0000	-0.700891	0.743455	9.983765	-0.124796	-0.010603	0.222443	0.998070	0.040533	0.026968	-0.038539
56155	-66.0000	-0.723555	0.967062	10.007583	-0.133988	0.221014	0.264199	0.998086	0.040125	0.026684	-0.038759
56156	-66.0000	-0.670477	1.223333	9.998389	-0.065396	0.481939	0.270830	0.998107	0.039625	0.026502	-0.038856
56157	-66.0000	-0.657115	1.257407	9.941945	-0.054868	0.530329	0.215816	0.998133	0.039035	0.026370	-0.038877
56158	-66.0000	-0.664976	1.141523	9.911154	-0.074442	0.428898	0.176644	0.998151	0.038551	0.026359	-0.038914
56159	-66.0000	-0.711324	1.003305	9.892932	-0.131222	0.303429	0.150918	0.998156	0.038324	0.026468	-0.038928
56160	-66.0000	-0.760516	0.988397	9.956345	-0.175417	0.289515	0.215749	0.998152	0.038341	0.026629	-0.038904
56161	-66.0000	-0.749777	1.027287	10.055445	-0.152993	0.317578	0.316735	0.998139	0.038538	0.026835	-0.038912
56162	-65.0000	-0.828687	1.080092	10.176731	-0.218298	0.363357	0.445943	0.998130	0.038675	0.026922	-0.038932
56163	-66.0000	-0.760809	1.071816	10.157830	-0.151118	0.350735	0.422706	0.998131	0.038602	0.026955	-0.038949
56164	-66.0000	-0.731429	1.025033	10.141546	-0.126361	0.306732	0.401351	0.998147	0.038329	0.026922	-0.038845
56165	-65.0000	-0.771431	1.025150	10.094409	-0.168918	0.318160	0.356550	0.998163	0.038125	0.026928	-0.038626
56166	-65.0000	-0.744112	1.009875	10.150508	-0.139524	0.299685	0.409694	0.998175	0.038016	0.026994	-0.038385
56167	-66.0000	-0.663891	1.021562	10.110897	-0.059527	0.309646	0.366466	0.998183	0.037969	0.027077	-0.038166
56168	-65.0000	-0.699175	1.022234	10.043883	-0.096567	0.319336	0.301762	0.998192	0.037858	0.027165	-0.037973
56169	-65.0000	-0.751627	0.954279	10.091033	-0.149910	0.254999	0.346891	0.998204	0.037662	0.027262	-0.037780
56170	-66.0000	-0.712217	0.976859	10.113310	-0.105654	0.276034	0.368334	0.998210	0.037530	0.027382	-0.037659
56171	-65.0000	-0.629483	1.019997	10.048302	-0.021449	0.320002	0.301766	0.998218	0.037418	0.027460	-0.037511
56172	-66.0000	-0.612445	1.032625	9.953477	-0.007158	0.340658	0.207143	0.998229	0.037279	0.027532	-0.037293
56173	-66.0000	-0.686471	1.062012	9.935363	-0.077831	0.378342	0.195376	0.998235	0.037221	0.027659	-0.037092
56174	-65.0000	-0.779586	1.203207	9.972799	-0.155171	0.524246	0.247793	0.998241	0.037106	0.027822	-0.036924
56175	-66.0000	-0.772020	1.184060	10.056423	-0.142025	0.501889	0.329186	0.998252	0.036868	0.027933	-0.036785
56176	-66.0000	-0.702688	0.967226	10.133194	-0.083466	0.280468	0.386591	0.998266	0.036616	0.028000	-0.036622
56177	-66.0000	-0.650268	0.806874	10.041387	-0.046376	0.126557	0.281131	0.998270	0.036578	0.028127	-0.036440
56178	-66.0000	-0.637748	0.813730	10.068280	-0.028676	0.129110	0.307671	0.998265	0.036736	0.028347	-0.036247
56179	-66.0000	-0.768526	0.934747	10.118100	-0.143336	0.250835	0.373424	0.998256	0.036972	0.028540	-0.036099
56180	-65.0000	-0.787565	1.128412	10.207652	-0.140606	0.434670	0.477163	0.998257	0.037071	0.028623	-0.035916
56181	-65.0000	-0.692607	1.072053	10.215942	-0.049702	0.371054	0.475865	0.998269	0.036987	0.028576	-0.035687
56182	-66.0000	-0.711665	0.952612	10.081910	-0.085009	0.265229	0.335281	0.998281	0.036865	0.028627	-0.035446
56183	-65.0000	-0.760802	0.916256	10.048188	-0.136829	0.235326	0.302169	0.998283	0.036917	0.028762	-0.035227
56184	-65.0000	-0.764605	0.921541	10.102471	-0.135386	0.233959	0.356910	0.998278	0.037133	0.028841	-0.035083
56185	-66.0000	-0.743462	0.933787	10.164427	-0.109507	0.234161	0.418316	0.998268	0.037495	0.028846	-0.034977
56186	-65.0000	-0.748198	1.129459	10.136243	-0.101595	0.424826	0.404362	0.998261	0.037752	0.028890	-0.034863
56187	-72.0000	-0.847196	1.234337	10.053905	-0.196956	0.540142	0.335800	0.998269	0.037657	0.028902	-0.034726
56188	-66.0000	-0.756634	1.101817	10.004565	-0.119715	0.409908	0.271729	0.998284	0.037347	0.028818	-0.034686
56189	-65.0000	-0.689853	0.966823	10.002169	-0.064225	0.277473	0.255724	0.998295	0.037047	0.028755	-0.034747
56190	-66.0000	-0.735411	1.027365	9.966813	-0.106327	0.350610	0.227205	0.998305	0.036628	0.028878	-0.034795
56191	-66.0000	-0.897244	1.199851	10.053153	-0.245738	0.541280	0.334094	0.998336	0.035610	0.029169	-0.034740
56192	-66.0000	-0.697991	0.995140	10.174210	-0.049020	0.340644	0.428090	0.998380	0.034155	0.029401	-0.034719
56193	-66.0000	-0.657049	0.618958	10.172176	-0.028626	-0.010754	0.399413	0.998403	0.033079	0.029721	-0.034847
56194	-66.0000	-0.684609	0.585740	10.079167	-0.056465	-0.021420	0.306489	0.998400	0.032718	0.030065	-0.034980
56195	-66.0000	-0.645439	0.897422	9.867213	0.001064	0.304045	0.111596	0.998382	0.032642	0.030545	-0.035152
56196	-66.0000	-0.740638	1.070639	9.880038	-0.072503	0.483689	0.140742	0.998371	0.032546	0.030842	-0.035286
56197	-66.0000	-0.850403	1.192393	10.048429	-0.157906	0.605378	0.322622	0.998374	0.032260	0.031021	-0.035292
