// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-59.0000	1.503558	-8.994085	3.346685	-0.026145	-0.040270	-0.099180	-0.809829	0.535999	0.192397	-0.140945
43951	-59.0000	1.547726	-8.917968	3.369014	0.000209	0.016044	-0.154758	-0.810060	0.535654	0.192481	-0.140815
43952	-59.0000	1.550181	-8.945731	3.386935	-0.005860	0.015364	-0.122475	-0.810143	0.535528	0.192509	-0.140777
43953	-59.0000	1.546333	-9.048695	3.383987	-0.005592	-0.030203	-0.029005	-0.810189	0.535488	0.192452	-0.140742
43954	-59.0000	1.547252	-9.216964	3.396203	-0.006330	-0.085858	0.130813	-0.810272	0.535415	0.192376	-0.140643
43955	-59.0000	1.492971	-9.152226	3.366220	-0.041711	-0.113292	0.051848	-0.810476	0.535189	0.192315	-0.140416
43956	-59.0000	1.484465	-9.103500	3.362409	-0.049179	-0.108557	0.004081	-0.810703	0.534906	0.192330	-0.140160
43957	-59.0000	1.538194	-9.045332	3.376864	-0.010375	-0.058034	-0.035990	-0.810874	0.534713	0.192315	-0.139930
43958	-59.0000	1.559031	-9.046990	3.388012	0.001884	-0.045105	-0.027230	-0.810984	0.534625	0.192276	-0.139682
43959	-59.0000	1.552209	-9.084412	3.369971	0.003187	-0.080522	-0.000139	-0.811090	0.534551	0.192241	-0.139397
43960	-59.0000	1.593619	-9.064624	3.394889	0.026062	-0.038901	-0.002993	-0.811239	0.534412	0.192234	-0.139070
43961	-60.0000	1.563557	-9.012694	3.413020	-0.011889	-0.022311	-0.049418	-0.811416	0.534240	0.192196	-0.138750
43962	-60.0000	1.555464	-8.940220	3.413061	-0.021454	-0.002635	-0.117559	-0.811549	0.534105	0.192153	-0.138551
43963	-59.0000	1.551507	-8.963309	3.441074	-0.037620	0.007131	-0.087072	-0.811592	0.534089	0.192094	-0.138444
