// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43E23
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-50.0000	-0.059869	-0.011647	9.779680	-0.017810	-0.005398	-0.032835	-0.999847	-0.000029	-0.000255	-0.017493
43951	-51.0000	-0.035167	0.016759	9.795621	0.006015	0.024074	-0.017020	-0.999847	-0.000019	-0.000259	-0.017498
43952	-50.0000	-0.035999	0.000197	9.771507	0.005826	0.007468	-0.041119	-0.999847	-0.000029	-0.000273	-0.017499
43953	-51.0000	-0.044033	0.010881	9.764251	-0.002463	0.017730	-0.048347	-0.999847	-0.000032	-0.000273	-0.017492
43954	-50.0000	-0.031882	0.016801	9.760169	0.009355	0.024146	-0.052486	-0.999847	-0.000021	-0.000264	-0.017495
43955	-50.0000	-0.038075	0.008715	9.783554	0.003478	0.015895	-0.029069	-0.999847	-0.000029	-0.000266	-0.017494
43956	-51.0000	-0.038753	0.000564	9.771496	0.003043	0.007608	-0.041118	-0.999847	-0.000032	-0.000264	-0.017488
43957	-51.0000	-0.032313	-0.009823	9.778747	0.009962	-0.002596	-0.033887	-0.999847	-0.000034	-0.000274	-0.017489
43958	-51.0000	-0.020139	0.004508	9.786724	0.021522	0.012165	-0.025973	-0.999847	-0.000033	-0.000250	-0.017502
43959	-50.0000	-0.020468	-0.003709	9.774668	0.021097	0.003870	-0.038020	-0.999847	-0.000039	-0.000240	-0.017498
43960	-51.0000	-0.041185	0.000911	9.771486	0.000266	0.007732	-0.041118	-0.999847	-0.000035	-0.000256	-0.017476
43961	-50.0000	-0.041918	0.000949	9.771483	-0.000420	0.007803	-0.041118	-0.999847	-0.000035	-0.000244	-0.017480
43962	-50.0000	-0.047935	-0.015354	9.782812	-0.006036	-0.008759	-0.029752	-0.999847	-0.000041	-0.000234	-0.017488
43963	-50.0000	-0.030306	0.007111	9.767405	0.009907	0.014159	-0.045248	-0.999847	-0.000042	-0.000199	-0.017474
43964	-51.0000	-0.031161	0.015415	9.779457	0.008953	0.022524	-0.033198	-0.999847	-0.000038	-0.000207	-0.017482
43965	-51.0000	-0.024785	-0.003310	9.774659	0.016128	0.004010	-0.038011	-0.999847	-0.000043	-0.000218	-0.017478
43966	-51.0000	-0.032685	0.015567	9.779452	0.007553	0.022586	-0.033197	-0.999847	-0.000039	-0.000202	-0.017476
43967	-51.0000	-0.038726	-0.017585	9.766670	0.002506	-0.010643	-0.045931	-0.999847	-0.000030	-0.000206	-0.017481
43968	-50.0000	-0.026562	-0.003249	9.774654	0.014060	0.004130	-0.038008	-0.999847	-0.000039	-0.000188	-0.017491
43969	-50.0000	-0.039795	-0.008856	9.778721	0.000832	-0.002241	-0.033882	-0.999847	-0.000060	-0.000185	-0.017479
43970	-50.0000	-0.040541	-0.008594	9.778718	0.000141	-0.002201	-0.033882	-0.999847	-0.000060	-0.000193	-0.017470
43971	-51.0000	-0.028533	-0.002592	9.774649	0.011958	0.004252	-0.038005	-0.999847	-0.000057	-0.000190	-0.017471
43972	-51.0000	-0.016556	0.011695	9.782635	0.023494	0.018989	-0.030078	-0.999847	-0.000054	-0.000197	-0.017480
43973	-51.0000	-0.030029	0.005739	9.786698	0.010280	0.012633	-0.025955	-0.999847	-0.000052	-0.000192	-0.017469
43974	-51.0000	-0.037884	0.016283	9.779432	0.001974	0.022879	-0.033195	-0.999847	-0.000055	-0.000191	-0.017463
43975	-51.0000	-0.051308	0.002002	9.771438	-0.010944	0.008179	-0.041124	-0.999847	-0.000047	-0.000195	-0.017467
43976	-50.0000	-0.019335	-0.004770	9.758522	0.021283	0.002463	-0.054169	-0.999847	-0.000061	-0.000201	-0.017481
43977	-51.0000	-0.013007	-0.006719	9.777840	0.027895	0.000615	-0.034876	-0.999847	-0.000061	-0.000209	-0.017473
43978	-50.0000	-0.028194	0.022554	9.775359	0.011710	0.029393	-0.037313	-0.999847	-0.000055	-0.000203	-0.017468
43979	-50.0000	-0.034455	0.006117	9.786683	0.006092	0.012805	-0.025952	-0.999847	-0.000056	-0.000212	-0.017471
43980	-51.0000	-0.055204	0.002336	9.771417	-0.014431	0.008308	-0.041129	-0.999847	-0.000053	-0.000218	-0.017468
43981	-51.0000	-0.048866	-0.008061	9.778680	-0.007534	-0.001852	-0.033885	-0.999847	-0.000058	-0.000229	-0.017476
43982	-51.0000	-0.024000	0.012298	9.782619	0.016497	0.019320	-0.030064	-0.999847	-0.000057	-0.000205	-0.017490
43983	-50.0000	-0.004500	-0.000717	9.773778	0.036225	0.007223	-0.038978	-0.999847	-0.000033	-0.000211	-0.017471
43984	-50.0000	-0.044992	0.008230	9.767348	-0.004705	0.014877	-0.045245	-0.999847	-0.000043	-0.000193	-0.017481
43985	-50.0000	-0.044074	-0.010413	9.797992	-0.003005	-0.003588	-0.014592	-0.999847	-0.000022	-0.000211	-0.017464
43986	-50.0000	-0.026679	0.011931	9.782612	0.013740	0.019458	-0.030060	-0.999848	-0.000031	-0.000214	-0.017462
43987	-51.0000	-0.027316	-0.004624	9.758503	0.013657	0.002844	-0.054155	-0.999848	-0.000025	-0.000219	-0.017448
43988	-51.0000	-0.000964	-0.011196	9.781048	0.040384	-0.002798	-0.031716	-0.999848	-0.000032	-0.000221	-0.017435
43989	-51.0000	-0.063464	0.037673	9.764836	-0.023662	0.043815	-0.047700	-0.999848	-0.000029	-0.000238	-0.017424
43990	-51.0000	-0.049894	0.016576	9.779378	-0.009149	0.023419	-0.033201	-0.999848	-0.000011	-0.000237	-0.017430
43991	-50.0000	-0.028650	-0.039872	9.765035	0.013909	-0.032140	-0.047591	-0.999848	-0.000017	-0.000229	-0.017449
43992	-51.0000	-0.022057	-0.058536	9.760255	0.021130	-0.050629	-0.052386	-0.999848	-0.000017	-0.000238	-0.017440
43993	-50.0000	-0.010259	-0.035944	9.780314	0.032341	-0.027545	-0.032394	-0.999848	-0.000008	-0.000242	-0.017444
43994	-50.0000	-0.045552	0.014421	9.798692	-0.004604	0.021685	-0.013904	-0.999848	-0.000006	-0.000238	-0.017433
43995	-50.0000	-0.055223	0.060121	9.784871	-0.015906	0.067086	-0.027719	-0.999848	-0.000001	-0.000244	-0.017431
43996	-50.0000	-0.037566	0.065807	9.745398	0.001475	0.073478	-0.067272	-0.999848	0.000008	-0.000248	-0.017423
43997	-51.0000	-0.022517	0.026331	9.790598	0.018358	0.034609	-0.022107	-0.999848	-0.000001	-0.000273	-0.017431
43998	-51.0000	-0.014165	-0.044136	9.768256	0.029215	-0.035696	-0.044430	-0.999848	-0.000007	-0.000263	-0.017439
43999	-51.0000	-0.027554	-0.050074	9.772295	0.016008	-0.042051	-0.040329	-0.999848	0.000003	-0.000267	-0.017444
44000	-51.0000	-0.024390	0.009988	9.766485	0.016905	0.018063	-0.046198	-0.999848	-0.000007	-0.000249	-0.017454
44001	-50.0000	-0.039505	0.039448	9.763977	0.000689	0.046825	-0.048663	-0.999848	-0.000013	-0.000259	-0.017438
44002	-51.0000	-0.053235	0.041924	9.780063	-0.012858	0.048780	-0.032520	-0.999848	-0.000014	-0.000269	-0.017452
44003	-51.0000	-0.046769	0.014946	9.763233	-0.005297	0.021952	-0.049357	-0.999848	-0.000021	-0.000282	-0.017458
44004	-51.0000	-0.040203	-0.003656	9.758459	0.001942	0.003451	-0.054146	-0.999847	-0.000028	-0.000274	-0.017477
44005	-49.0000	-0.037241	-0.065716	9.783604	0.006956	-0.058468	-0.028969	-0.999847	-0.000023	-0.000259	-0.017475
44006	-50.0000	-0.012537	-0.045447	9.787586	0.030977	-0.037289	-0.025108	-0.999847	-0.000021	-0.000277	-0.017463
44007	-50.0000	-0.014876	-0.026769	9.756933	0.027922	-0.018750	-0.055764	-0.999848	-0.000026	-0.000266	-0.017460
44008	-50.0000	-0.062960	0.026131	9.791353	-0.021933	0.032400	-0.021175	-0.999847	-0.000029	-0.000266	-0.017466
44009	-51.0000	-0.045471	0.048701	9.776000	-0.005201	0.055461	-0.036619	-0.999847	-0.000035	-0.000277	-0.017461
44010	-51.0000	-0.051884	0.040682	9.799364	-0.011172	0.047186	-0.013222	-0.999847	-0.000034	-0.000273	-0.017463
44011	-51.0000	-0.012336	0.006803	9.769718	0.029362	0.014671	-0.043014	-0.999848	-0.000037	-0.000272	-0.017457
44012	-50.0000	-0.018369	-0.026166	9.756929	0.024413	-0.018570	-0.055755	-0.999847	-0.000041	-0.000271	-0.017462
44013	-51.0000	-0.017529	-0.044741	9.787582	0.026073	-0.037005	-0.025092	-0.999847	-0.000031	-0.000275	-0.017467
44014	-51.0000	-0.052688	-0.019221	9.769743	-0.009947	-0.012805	-0.042797	-0.999847	-0.000045	-0.000280	-0.017469
44015	-51.0000	-0.060863	-0.000143	9.774501	-0.018577	0.005753	-0.038016	-0.999848	-0.000055	-0.000293	-0.017446
44016	-51.0000	-0.036219	0.020229	9.778498	0.005418	0.026948	-0.034140	-0.999848	-0.000048	-0.000287	-0.017442
44017	-51.0000	-0.024039	0.026316	9.774472	0.017223	0.033421	-0.038223	-0.999848	-0.000059	-0.000280	-0.017456
44018	-51.0000	-0.010150	-0.002724	9.777001	0.032076	0.004713	-0.035735	-0.999848	-0.000064	-0.000280	-0.017460
44019	-50.0000	-0.023684	-0.008600	9.781022	0.018875	-0.001667	-0.031651	-0.999847	-0.000064	-0.000290	-0.017462
44020	-50.0000	-0.017092	-0.027387	9.776262	0.026132	-0.020182	-0.036428	-0.999848	-0.000059	-0.000284	-0.017457
44021	-51.0000	-0.030267	-0.041835	9.768230	0.013264	-0.034883	-0.044392	-0.999848	-0.000045	-0.000273	-0.017437
44022	-50.0000	-0.045709	0.004021	9.789795	-0.003657	0.010511	-0.022791	-0.999847	-0.000048	-0.000285	-0.017461
44023	-51.0000	-0.033950	0.018419	9.797823	0.007827	0.025293	-0.014824	-0.999848	-0.000049	-0.000294	-0.017452
44024	-50.0000	-0.041751	0.012200	9.766424	0.000219	0.018863	-0.046185	-0.999848	-0.000040	-0.000297	-0.017457
44025	-50.0000	-0.010017	0.022111	9.777733	0.031811	0.029881	-0.035021	-0.999848	-0.000050	-0.000311	-0.017445
44026	-51.0000	-0.028973	-0.016855	9.768957	0.014393	-0.009786	-0.043689	-0.999848	-0.000046	-0.000318	-0.017442
44027	-51.0000	-0.036670	-0.023050	9.737556	0.006818	-0.016184	-0.075050	-0.999848	-0.000043	-0.000315	-0.017443
44028	-51.0000	-0.050631	0.004317	9.789771	-0.007816	0.010725	-0.022794	-0.999848	-0.000043	-0.000323	-0.017434
