// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF4
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-61.0000	9.583847	-0.600396	3.231083	0.029941	-0.286531	0.314874	0.416796	0.486100	-0.344853	0.686341
43951	-60.0000	9.574502	-0.553450	3.253247	-0.002123	-0.327528	0.309256	0.416823	0.486091	-0.344867	0.686324
43952	-60.0000	9.610692	-0.631101	3.314655	0.085524	-0.341021	0.367049	0.416830	0.486132	-0.344892	0.686279
43953	-60.0000	9.559446	-0.651957	3.248469	0.089306	-0.287623	0.300171	0.416806	0.486175	-0.344918	0.686250
43954	-60.0000	9.589917	-0.640549	3.251519	0.074839	-0.290069	0.329277	0.416759	0.486226	-0.345063	0.686169
43955	-60.0000	9.561825	-0.652567	3.314135	0.114826	-0.350798	0.321491	0.416704	0.486320	-0.345231	0.686051
43956	-60.0000	9.606522	-0.612126	3.248430	0.045146	-0.303692	0.342016	0.416653	0.486360	-0.345444	0.685946
43957	-60.0000	9.655975	-0.695585	3.205640	0.095413	-0.223333	0.382353	0.416669	0.486374	-0.345589	0.685854
43958	-60.0000	9.608031	-0.703336	3.168161	0.097094	-0.200868	0.326169	0.416709	0.486385	-0.345694	0.685768
43959	-60.0000	9.587934	-0.676896	3.177627	0.080766	-0.226569	0.307892	0.416716	0.486421	-0.345755	0.685709
43960	-60.0000	9.581093	-0.650487	3.193510	0.064368	-0.254205	0.304141	0.416694	0.486441	-0.345774	0.685698
43961	-60.0000	9.535965	-0.643701	3.186899	0.063897	-0.262660	0.258670	0.416679	0.486452	-0.345802	0.685685
43962	-60.0000	9.557062	-0.670077	3.210955	0.093260	-0.268207	0.287612	0.416669	0.486472	-0.345782	0.685687
43963	-60.0000	9.584410	-0.638789	3.185738	0.050700	-0.252203	0.304215	0.416635	0.486495	-0.345721	0.685722
43964	-60.0000	9.604005	-0.612021	3.214730	0.034132	-0.283607	0.329520	0.416615	0.486517	-0.345680	0.685739
43965	-60.0000	9.598075	-0.637988	3.227633	0.063628	-0.285370	0.329413	0.416610	0.486501	-0.345681	0.685754
43966	-61.0000	9.613197	-0.659732	3.192525	0.067100	-0.241662	0.335127	0.416633	0.486479	-0.345680	0.685756
43967	-61.0000	9.662449	-0.706920	3.188731	0.099524	-0.205734	0.384294	0.416693	0.486432	-0.345608	0.685788
43968	-61.0000	9.658569	-0.632450	3.236594	0.050672	-0.276571	0.389490	0.416775	0.486355	-0.345490	0.685853
43969	-62.0000	9.588208	-0.642980	3.251428	0.078418	-0.299688	0.327479	0.416770	0.486339	-0.345435	0.685895
43970	-62.0000	9.587836	-0.643376	3.252446	0.078712	-0.299384	0.327486	0.416786	0.486286	-0.345416	0.685933
43971	-62.0000	9.543281	-0.688369	3.243930	0.124127	-0.281923	0.285642	0.416831	0.486250	-0.345297	0.685990
43972	-62.0000	9.551869	-0.647557	3.262360	0.093017	-0.310416	0.296492	0.416842	0.486256	-0.345160	0.686049
43973	-62.0000	9.562645	-0.627542	3.238661	0.065119	-0.293516	0.298521	0.416840	0.486313	-0.345049	0.686065
43974	-65.0000	9.621247	-0.635086	3.214435	0.053716	-0.254412	0.347859	0.416861	0.486361	-0.345007	0.686039
43975	-62.0000	9.631871	-0.647057	3.226467	0.068540	-0.256947	0.362331	0.416904	0.486384	-0.344962	0.686019
43976	-62.0000	9.634159	-0.664639	3.257611	0.096915	-0.275052	0.374842	0.416948	0.486380	-0.344857	0.686048
43977	-62.0000	9.652784	-0.637805	3.252924	0.067934	-0.274618	0.389495	0.417021	0.486315	-0.344707	0.686126
43978	-62.0000	9.597234	-0.668873	3.233981	0.098803	-0.254374	0.333171	0.417072	0.486232	-0.344547	0.686234
43979	-62.0000	9.570143	-0.635048	3.224429	0.068994	-0.262690	0.302355	0.417094	0.486177	-0.344397	0.686335
43980	-62.0000	9.577345	-0.628815	3.208887	0.055723	-0.246770	0.304323	0.417106	0.486125	-0.344288	0.686419
43981	-63.0000	9.555324	-0.633901	3.222917	0.069686	-0.260049	0.287845	0.417121	0.486124	-0.344190	0.686460
43982	-63.0000	9.610634	-0.654644	3.206268	0.072936	-0.221970	0.337111	0.417128	0.486149	-0.344098	0.686484
43983	-62.0000	9.628927	-0.660661	3.201342	0.074222	-0.209041	0.353536	0.417158	0.486160	-0.343983	0.686515
43984	-62.0000	9.628272	-0.660277	3.167149	0.062119	-0.176803	0.342868	0.417217	0.486151	-0.343831	0.686562
43985	-62.0000	9.599161	-0.635719	3.234418	0.071777	-0.250038	0.333337	0.417248	0.486158	-0.343667	0.686620
43986	-62.0000	9.582919	-0.614658	3.199789	0.044062	-0.229353	0.306317	0.417247	0.486218	-0.343449	0.686688
43987	-63.0000	9.590326	-0.634696	3.328519	0.110832	-0.328775	0.352737	0.417274	0.486167	-0.343292	0.686785
43988	-62.0000	9.592572	-0.594922	3.143350	0.004137	-0.180186	0.297681	0.417223	0.486203	-0.343190	0.686842
43989	-63.0000	9.582030	-0.609852	3.275700	0.069874	-0.292162	0.327687	0.417163	0.486210	-0.343187	0.686875
43990	-63.0000	9.554172	-0.644320	3.229321	0.088182	-0.243785	0.289721	0.417127	0.486216	-0.343128	0.686923
43991	-63.0000	9.597506	-0.717115	3.238954	0.149877	-0.209952	0.338700	0.417110	0.486196	-0.343014	0.687004
43992	-63.0000	9.633116	-0.646886	3.196509	0.063506	-0.190685	0.355531	0.417137	0.486155	-0.342876	0.687085
43993	-64.0000	9.594822	-0.662469	3.247304	0.104547	-0.235077	0.335134	0.417172	0.486166	-0.342725	0.687131
43994	-64.0000	9.563260	-0.622033	3.211224	0.061204	-0.225841	0.291771	0.417177	0.486213	-0.342600	0.687158
43995	-65.0000	9.578510	-0.642233	3.176745	0.064687	-0.182077	0.297441	0.417185	0.486222	-0.342516	0.687188
43996	-64.0000	9.578152	-0.641270	3.178019	0.065001	-0.181826	0.297443	0.417247	0.486198	-0.342417	0.687216
43997	-64.0000	9.588796	-0.620323	3.191138	0.049549	-0.196781	0.310158	0.417288	0.486164	-0.342292	0.687278
43998	-64.0000	9.585267	-0.632383	3.199463	0.064483	-0.197591	0.310090	0.417298	0.486145	-0.342203	0.687330
43999	-63.0000	9.598262	-0.630898	3.242894	0.077140	-0.231097	0.335301	0.417309	0.486101	-0.342126	0.687393
