// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-59.0000	0.053855	-0.207486	10.029997	-0.112995	0.128518	0.218140	0.999773	-0.014950	-0.008374	-0.012627
43951	-60.0000	0.114129	-0.275718	10.104566	-0.054909	0.059473	0.295960	0.999777	-0.014730	-0.008347	-0.012651
43952	-60.0000	0.244185	-0.246301	10.199283	0.075272	0.083370	0.391873	0.999782	-0.014421	-0.008275	-0.012636
43953	-60.0000	0.148624	-0.157008	10.197124	-0.016152	0.169808	0.385302	0.999786	-0.014231	-0.008166	-0.012578
43954	-59.0000	0.044820	-0.116516	10.266740	-0.118623	0.213575	0.451905	0.999787	-0.014274	-0.008140	-0.012497
43955	-60.0000	0.100910	-0.273480	10.192555	-0.064453	0.055966	0.383678	0.999785	-0.014527	-0.008082	-0.012387
43956	-60.0000	0.127916	-0.309046	10.105093	-0.035442	0.020589	0.297857	0.999786	-0.014638	-0.007993	-0.012228
43957	-59.0000	0.157403	-0.271762	10.151508	-0.003787	0.059093	0.343505	0.999790	-0.014570	-0.007893	-0.012079
43958	-59.0000	0.178750	-0.213798	10.095389	0.021938	0.113152	0.285889	0.999793	-0.014490	-0.007782	-0.011950
43959	-59.0000	0.115129	-0.116951	10.065518	-0.036572	0.209440	0.251923	0.999795	-0.014472	-0.007664	-0.011881
43960	-59.0000	0.030983	-0.062907	10.048306	-0.116944	0.264569	0.231699	0.999796	-0.014464	-0.007564	-0.011867
43961	-59.0000	0.048383	-0.231587	10.118669	-0.102967	0.098383	0.307745	0.999796	-0.014519	-0.007501	-0.011864
43962	-60.0000	0.121280	-0.332306	10.134589	-0.031124	-0.002474	0.328026	0.999796	-0.014564	-0.007405	-0.011894
43963	-59.0000	0.096985	-0.270582	10.135035	-0.052428	0.058675	0.326118	0.999797	-0.014410	-0.007349	-0.011986
43964	-59.0000	0.029868	-0.200379	10.133540	-0.117113	0.126280	0.321414	0.999800	-0.014162	-0.007332	-0.012076
43965	-59.0000	0.094697	-0.237841	10.194561	-0.053896	0.085988	0.384582	0.999800	-0.014088	-0.007326	-0.012159
