// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-62.0000	-3.139083	0.055984	9.431992	-0.010944	-0.017890	0.128088	-0.983976	-0.020104	-0.157818	0.080502
54079	-62.0000	-3.022800	0.184258	9.296541	0.070760	0.092461	-0.036012	-0.983993	-0.020509	-0.157542	0.080738
54080	-62.0000	-3.124988	0.283480	9.308442	-0.010344	0.202039	0.008315	-0.984014	-0.020543	-0.157303	0.080934
54081	-62.0000	-3.089142	0.116483	9.285517	-0.019753	0.037161	-0.026196	-0.984117	-0.020225	-0.156635	0.081053
54082	-62.0000	-3.006562	-0.084989	9.353377	0.030904	-0.174784	0.010793	-0.984236	-0.020351	-0.155808	0.081170
54083	-61.0000	-2.873137	-0.096337	9.459605	0.170010	-0.221554	0.070141	-0.984325	-0.021305	-0.155046	0.081309
54084	-60.0000	-3.041463	0.154037	9.440600	0.035039	0.030954	0.106834	-0.984333	-0.022671	-0.154736	0.081431
54085	-60.0000	-3.157448	0.337717	9.362374	-0.075190	0.213861	0.070944	-0.984359	-0.023541	-0.154402	0.081503
54086	-60.0000	-3.064270	0.215156	9.344806	-0.021867	0.068987	0.023786	-0.984414	-0.023884	-0.153961	0.081573
54087	-60.0000	-3.110581	0.105044	9.372236	-0.085616	-0.040334	0.062362	-0.984476	-0.024285	-0.153419	0.081731
54088	-59.0000	-3.066885	0.212439	9.369307	-0.042914	0.051212	0.047857	-0.984588	-0.024880	-0.152483	0.081955
54089	-59.0000	-2.928316	0.332314	9.276463	0.060783	0.147613	-0.080642	-0.984706	-0.025209	-0.151561	0.082141
54090	-59.0000	-2.971944	0.294662	9.309705	0.005383	0.112287	-0.036327	-0.984826	-0.025362	-0.150679	0.082279
54091	-59.0000	-2.880869	0.146030	9.210370	0.019756	-0.045367	-0.161306	-0.984935	-0.025799	-0.149850	0.082351
54092	-59.0000	-2.793582	0.319928	9.052620	0.070142	0.115627	-0.334393	-0.985018	-0.026330	-0.149222	0.082335
54093	-59.0000	-2.861369	0.336747	9.001812	-0.015726	0.141579	-0.362124	-0.985080	-0.026370	-0.148845	0.082263
54094	-59.0000	-2.826304	0.125969	8.994777	-0.025744	-0.067733	-0.383763	-0.985125	-0.026013	-0.148613	0.082257
54095	-58.0000	-2.914980	0.012014	9.075377	-0.107164	-0.168289	-0.282739	-0.985120	-0.026013	-0.148585	0.082365
54096	-58.0000	-2.834854	0.035920	8.943248	-0.068231	-0.149890	-0.432269	-0.985130	-0.026283	-0.148400	0.082492
54097	-58.0000	-2.828974	0.247507	8.983726	-0.017679	0.049503	-0.390962	-0.985109	-0.026658	-0.148375	0.082667
54098	-58.0000	-2.937493	0.223989	9.025063	-0.112454	0.036918	-0.319701	-0.985096	-0.026694	-0.148358	0.082844
54099	-58.0000	-2.771599	0.170497	8.985141	0.023100	-0.038795	-0.408351	-0.985078	-0.026728	-0.148357	0.083050
54100	-58.0000	-2.784261	0.288854	8.946319	0.022685	0.082116	-0.439059	-0.985019	-0.026774	-0.148633	0.083237
54101	-57.0000	-2.843155	0.193471	8.928624	-0.047525	-0.000073	-0.440440	-0.984957	-0.026566	-0.149030	0.083336
54102	-58.0000	-2.866185	0.165534	9.070549	-0.023190	-0.031795	-0.298713	-0.984864	-0.026477	-0.149593	0.083454
54103	-57.0000	-2.875037	0.154592	9.261440	0.034665	-0.056228	-0.114253	-0.984744	-0.026645	-0.150293	0.083554
54104	-58.0000	-2.857716	0.225711	9.205932	0.060466	0.008607	-0.170959	-0.984614	-0.027052	-0.151036	0.083617
54105	-57.0000	-3.023241	0.450293	9.277502	-0.019900	0.242689	-0.047675	-0.984461	-0.027335	-0.151952	0.083662
54106	-57.0000	-3.059074	0.371853	9.339933	-0.033500	0.165890	0.021025	-0.984382	-0.026980	-0.152547	0.083629
54107	-57.0000	-2.955960	0.264889	9.452573	0.091871	0.040805	0.094324	-0.984281	-0.026748	-0.153240	0.083622
54108	-57.0000	-3.072360	0.226246	9.429177	-0.017289	0.025860	0.106939	-0.984192	-0.026518	-0.153885	0.083559
54109	-57.0000	-3.017613	0.232756	9.430052	0.047658	0.024950	0.091005	-0.984117	-0.026475	-0.154448	0.083414
54110	-57.0000	-3.135724	0.227640	9.424714	-0.053433	0.039514	0.122371	-0.984034	-0.026280	-0.155099	0.083251
54111	-58.0000	-3.095600	0.222361	9.536929	0.028375	0.022175	0.216465	-0.983979	-0.026121	-0.155536	0.083135
54112	-58.0000	-3.058327	0.091787	9.543094	0.054655	-0.111224	0.208144	-0.983881	-0.025996	-0.156233	0.083034
54113	-57.0000	-3.231468	0.222573	9.562189	-0.067670	0.041659	0.282909	-0.983807	-0.026137	-0.156720	0.082941
54114	-57.0000	-3.090485	0.283031	9.527436	0.071745	0.080308	0.206876	-0.983775	-0.026047	-0.157010	0.082799
54115	-58.0000	-3.217144	0.247937	9.557238	-0.037207	0.066894	0.274256	-0.983746	-0.025665	-0.157336	0.082651
54116	-58.0000	-3.168335	0.137342	9.549568	-0.008193	-0.042347	0.249599	-0.983757	-0.025290	-0.157386	0.082539
54117	-58.0000	-3.164907	0.113210	9.522750	-0.015189	-0.060182	0.222669	-0.983748	-0.025153	-0.157509	0.082456
54118	-58.0000	-3.243857	0.234006	9.395838	-0.106213	0.082095	0.129200	-0.983758	-0.025009	-0.157540	0.082319
54119	-58.0000	-3.129002	0.209058	9.422642	0.005623	0.043357	0.118004	-0.983789	-0.024556	-0.157496	0.082162
54120	-58.0000	-3.155324	0.025999	9.264940	-0.097034	-0.113547	-0.026292	-0.983798	-0.024049	-0.157595	0.082019
54121	-58.0000	-3.206412	0.065342	9.295479	-0.128479	-0.061702	0.019452	-0.983826	-0.023773	-0.157482	0.081974
54122	-57.0000	-3.026083	0.149915	9.289578	0.050999	-0.000019	-0.041643	-0.983852	-0.023471	-0.157380	0.081948
54123	-58.0000	-3.104344	0.073004	9.299679	-0.030554	-0.057372	-0.008501	-0.983838	-0.023014	-0.157573	0.081878
54124	-57.0000	-3.091966	0.037120	9.288468	-0.024874	-0.086321	-0.023449	-0.983843	-0.022621	-0.157674	0.081734
54125	-58.0000	-3.033449	0.002738	9.181105	-0.005518	-0.117189	-0.144143	-0.983828	-0.022403	-0.157877	0.081583
54126	-57.0000	-3.127913	-0.047160	9.250528	-0.075053	-0.151834	-0.048998	-0.983789	-0.022064	-0.158220	0.081482
54127	-58.0000	-3.244726	-0.033083	9.433807	-0.119092	-0.129062	0.162041	-0.983742	-0.022081	-0.158480	0.081541
54128	-57.0000	-3.031395	0.019716	9.490489	0.111178	-0.112123	0.148948	-0.983713	-0.021936	-0.158629	0.081637
54129	-58.0000	-3.206613	0.142911	9.393927	-0.057305	0.043535	0.114219	-0.983653	-0.021938	-0.158974	0.081682
54130	-57.0000	-3.189016	0.133530	9.366976	-0.048803	0.038741	0.082968	-0.983698	-0.021364	-0.158781	0.081668
54131	-58.0000	-3.108328	-0.003648	9.332736	-0.008925	-0.095184	0.023598	-0.983725	-0.020777	-0.158650	0.081749
54132	-57.0000	-3.167018	0.084308	9.359122	-0.043400	0.009361	0.068016	-0.983747	-0.020369	-0.158464	0.081949
54133	-57.0000	-2.997402	0.051900	9.391900	0.118060	-0.043222	0.045258	-0.983757	-0.020077	-0.158371	0.082084
54134	-57.0000	-3.078342	0.132097	9.366086	0.050069	0.054206	0.046915	-0.983714	-0.019924	-0.158679	0.082041
54135	-57.0000	-3.187188	0.068222	9.273998	-0.085339	0.016036	-0.006449	-0.983693	-0.019730	-0.158923	0.081861
54136	-57.0000	-3.149726	0.039675	9.328646	-0.033501	-0.016974	0.033356	-0.983681	-0.019410	-0.159100	0.081738
54137	-57.0000	-3.161256	-0.016110	9.359452	-0.039528	-0.065739	0.065939	-0.983654	-0.019034	-0.159309	0.081751
54138	-56.0000	-3.172655	-0.070422	9.365395	-0.054551	-0.111540	0.074977	-0.983655	-0.018746	-0.159321	0.081786
54139	-57.0000	-3.143267	-0.002740	9.401846	-0.005135	-0.047363	0.100565	-0.983673	-0.018636	-0.159214	0.081803
54140	-57.0000	-3.124235	0.033287	9.361498	0.003987	-0.007644	0.056432	-0.983704	-0.018264	-0.159083	0.081765
54141	-57.0000	-3.166346	-0.005369	9.278112	-0.068464	-0.026080	-0.009435	-0.983715	-0.017757	-0.159079	0.081750
54142	-56.0000	-3.172454	-0.065337	9.335346	-0.065550	-0.077839	0.046677	-0.983722	-0.017277	-0.159068	0.081788
54143	-57.0000	-3.117483	-0.176803	9.377379	-0.018931	-0.193038	0.068991	-0.983718	-0.017204	-0.159071	0.081847
54144	-56.0000	-3.121922	0.079570	9.306624	-0.002616	0.062311	0.003732	-0.983703	-0.017492	-0.159124	0.081863
54145	-56.0000	-3.103821	0.034559	9.243746	-0.012730	0.019011	-0.061728	-0.983730	-0.017131	-0.159066	0.081725
54146	-56.0000	-3.145039	-0.142147	9.296707	-0.065383	-0.145643	0.001320	-0.983768	-0.016836	-0.158916	0.081620
54147	-56.0000	-3.128806	-0.144630	9.330934	-0.042617	-0.148136	0.028700	-0.983791	-0.016706	-0.158762	0.081679
54148	-56.0000	-3.092658	-0.051518	9.377548	0.018713	-0.062822	0.061587	-0.983787	-0.016744	-0.158672	0.081894
54149	-56.0000	-3.059976	0.156427	9.192815	0.025164	0.148285	-0.123872	-0.983772	-0.016641	-0.158665	0.082111
54150	-56.0000	-3.056550	0.159175	9.210324	0.035312	0.156976	-0.108461	-0.983769	-0.016007	-0.158709	0.082183
54151	-56.0000	-3.112187	-0.095821	9.309535	-0.026166	-0.080208	0.003382	-0.983775	-0.015521	-0.158743	0.082131
54152	-56.0000	-3.145233	-0.028875	9.383405	-0.022511	-0.009232	0.083828	-0.983781	-0.015620	-0.158737	0.082052
54153	-56.0000	-3.044145	-0.045659	9.215367	0.015894	-0.036614	-0.107519	-0.983801	-0.015858	-0.158668	0.081909
54154	-56.0000	-3.093164	0.016878	9.263618	-0.004962	0.024355	-0.046319	-0.983794	-0.016184	-0.158762	0.081745
54155	-56.0000	-3.185416	-0.023792	9.333049	-0.074711	-0.010153	0.048731	-0.983788	-0.016321	-0.158877	0.081565
54156	-56.0000	-3.117587	-0.099447	9.366052	-0.011247	-0.100384	0.058582	-0.983778	-0.016457	-0.158998	0.081422
54157	-56.0000	-3.136864	-0.011527	9.328456	-0.024199	-0.012692	0.029030	-0.983751	-0.016680	-0.159157	0.081393
54158	-56.0000	-3.084411	0.050861	9.303054	0.028851	0.041789	-0.011646	-0.983752	-0.016468	-0.159171	0.081393
54159	-56.0000	-3.054239	-0.109374	9.478375	0.087457	-0.126544	0.145037	-0.983735	-0.016302	-0.159303	0.081383
54160	-56.0000	-3.165394	-0.178288	9.504901	-0.017331	-0.180112	0.205392	-0.983724	-0.016571	-0.159397	0.081269
54161	-55.0000	-3.223040	0.047649	9.392995	-0.068786	0.050598	0.117635	-0.983723	-0.016964	-0.159424	0.081155
54162	-56.0000	-3.171198	0.044849	9.373329	-0.028388	0.039378	0.082536	-0.983757	-0.016709	-0.159263	0.081109
54163	-55.0000	-3.094757	-0.127048	9.411599	0.024491	-0.136892	0.094508	-0.983782	-0.016268	-0.159106	0.081206
54164	-56.0000	-3.199443	-0.103830	9.454208	-0.059384	-0.095345	0.168126	-0.983795	-0.016303	-0.158928	0.081386
54165	-55.0000	-3.109213	0.029921	9.357077	0.011369	0.027303	0.047440	-0.983841	-0.016393	-0.158587	0.081473
54166	-55.0000	-3.082764	0.095290	9.327070	0.032615	0.088238	0.010647	-0.983862	-0.016465	-0.158447	0.081483
54167	-55.0000	-3.134706	0.049172	9.269666	-0.046450	0.054160	-0.027473	-0.983926	-0.016390	-0.158079	0.081434
54168	-55.0000	-2.997509	0.123495	9.234937	0.077043	0.111577	-0.103620	-0.983977	-0.016145	-0.157780	0.081447
54169	-55.0000	-2.978854	-0.024847	9.269433	0.078029	-0.030565	-0.076695	-0.984001	-0.015496	-0.157706	0.081432
54170	-55.0000	-3.063467	-0.180535	9.265431	-0.027101	-0.162263	-0.053663	-0.983994	-0.015244	-0.157787	0.081405
54171	-55.0000	-3.075146	-0.156974	9.190813	-0.056436	-0.133265	-0.120873	-0.983993	-0.015453	-0.157794	0.081360
54172	-55.0000	-3.042480	-0.029031	9.120306	-0.027681	-0.011839	-0.198292	-0.984005	-0.015576	-0.157730	0.081315
54173	-56.0000	-3.033076	-0.037893	9.111226	-0.024316	-0.020452	-0.209854	-0.984018	-0.015338	-0.157665	0.081328
54174	-55.0000	-2.955646	-0.127422	9.246151	0.074800	-0.122912	-0.105851	-0.984017	-0.015128	-0.157624	0.081462
54175	-55.0000	-3.042099	-0.165129	9.358569	0.024320	-0.151291	0.028093	-0.983969	-0.015267	-0.157841	0.081597
54176	-55.0000	-3.064661	0.039309	9.226751	-0.001593	0.055756	-0.090367	-0.983946	-0.015616	-0.157933	0.081629
54177	-55.0000	-3.012839	0.062046	9.189852	0.041783	0.068658	-0.141702	-0.983926	-0.015572	-0.158134	0.081494
54178	-55.0000	-3.137418	-0.165416	9.215636	-0.100706	-0.137194	-0.077712	-0.983918	-0.015490	-0.158264	0.081353
54179	-55.0000	-2.997762	-0.128575	9.310836	0.068269	-0.127477	-0.031385	-0.983891	-0.015560	-0.158397	0.081407
54180	-55.0000	-3.131975	-0.027000	9.432924	0.002728	-0.013668	0.126621	-0.983804	-0.015596	-0.158824	0.081621
54181	-54.0000	-3.055560	-0.105845	9.497507	0.088980	-0.106316	0.163839	-0.983740	-0.015532	-0.159129	0.081804
54182	-54.0000	-3.155544	-0.074698	9.434423	-0.012838	-0.059822	0.135560	-0.983671	-0.015890	-0.159473	0.081892
54183	-54.0000	-3.155213	0.055420	9.406810	0.002087	0.062013	0.109140	-0.983679	-0.016328	-0.159381	0.081891
54184	-54.0000	-3.043499	0.113385	9.463672	0.131821	0.093263	0.127672	-0.983687	-0.016479	-0.159307	0.081913
54185	-55.0000	-3.179834	-0.012752	9.421018	-0.030564	-0.009152	0.130454	-0.983681	-0.016493	-0.159315	0.081961
54186	-54.0000	-3.112242	-0.030203	9.357411	0.008156	-0.033837	0.048696	-0.983705	-0.016537	-0.159135	0.082014
54187	-54.0000	-3.009765	0.031284	9.398533	0.125241	0.008591	0.055257	-0.983698	-0.016535	-0.159139	0.082093
54188	-56.0000	-3.110778	-0.048906	9.440938	0.032838	-0.055972	0.127455	-0.983660	-0.016450	-0.159327	0.082201
54189	-56.0000	-3.188636	-0.107644	9.465798	-0.038785	-0.103703	0.175709	-0.983630	-0.016609	-0.159450	0.082291
54190	-56.0000	-3.138734	0.034824	9.309763	-0.017286	0.031560	0.011938	-0.983627	-0.017054	-0.159383	0.082370
54191	-56.0000	-3.094623	0.196858	9.266799	0.034252	0.183144	-0.042616	-0.983656	-0.017034	-0.159165	0.082447
54192	-55.0000	-3.092827	0.055203	9.353586	0.034917	0.042295	0.038972	-0.983701	-0.016733	-0.158881	0.082519
54193	-54.0000	-3.051692	-0.151847	9.434329	0.059660	-0.166915	0.102504	-0.983741	-0.016504	-0.158654	0.082520
54194	-54.0000	-3.056323	-0.156394	9.366921	0.031018	-0.170222	0.039968	-0.983732	-0.017068	-0.158653	0.082513
54195	-54.0000	-3.054998	0.077762	9.303855	0.049601	0.052765	-0.020061	-0.983737	-0.017658	-0.158562	0.082506
54196	-54.0000	-3.082910	0.083982	9.211884	-0.005678	0.059980	-0.098442	-0.983730	-0.017944	-0.158561	0.082537
54197	-54.0000	-3.101448	0.116189	9.283278	0.002510	0.090192	-0.024757	-0.983759	-0.017748	-0.158361	0.082616
54198	-54.0000	-3.062667	-0.117960	9.294148	0.000903	-0.142265	-0.027250	-0.983768	-0.017467	-0.158276	0.082727
54199	-55.0000	-3.086965	-0.095549	9.297748	-0.019223	-0.114927	-0.016105	-0.983778	-0.017642	-0.158121	0.082871
54200	-55.0000	-2.961307	-0.036553	9.226768	0.083644	-0.075912	-0.122942	-0.983781	-0.017862	-0.158045	0.082935
