// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-62.0000	-0.111340	-1.672900	9.905918	0.009435	0.229357	0.231489	0.097261	-0.006492	0.073167	-0.992545
54079	-62.0000	-0.068363	-1.783487	9.829926	-0.046401	0.333372	0.172284	0.097001	-0.006991	0.073203	-0.992564
54080	-62.0000	-0.057036	-1.371175	9.787534	0.030872	-0.057861	0.070373	0.096787	-0.007545	0.072760	-0.992613
54081	-63.0000	0.015565	-1.483790	9.655527	-0.056152	0.067789	-0.044201	0.096530	-0.007978	0.072141	-0.992680
54082	-62.0000	0.059671	-1.226016	9.721039	-0.042693	-0.191817	-0.016430	0.096322	-0.008211	0.071962	-0.992712
54083	-62.0000	0.029268	-1.309022	9.751485	-0.025444	-0.109886	0.025663	0.096141	-0.008200	0.072187	-0.992713
54084	-63.0000	-0.033459	-1.430448	9.757178	0.013153	0.014100	0.048826	0.095901	-0.008119	0.072487	-0.992715
54085	-63.0000	-0.074166	-1.378367	9.886146	0.066034	-0.050085	0.169016	0.095711	-0.008115	0.072501	-0.992732
54086	-63.0000	-0.177505	-1.367856	9.960286	0.172410	-0.050786	0.241045	0.095638	-0.008211	0.072459	-0.992741
54087	-63.0000	-0.070484	-1.393282	9.927352	0.067157	-0.040930	0.211899	0.095566	-0.008654	0.072472	-0.992744
54088	-63.0000	0.078578	-1.411338	9.788154	-0.075514	-0.029500	0.076672	0.095441	-0.009305	0.072300	-0.992762
54089	-63.0000	-0.022626	-1.304780	9.657217	0.052619	-0.087948	-0.068238	0.095354	-0.009969	0.071853	-0.992797
54090	-63.0000	0.125102	-1.266545	9.626256	-0.076820	-0.140472	-0.103983	0.095404	-0.010335	0.071535	-0.992811
54091	-63.0000	0.078162	-1.317920	9.641053	-0.037630	-0.078560	-0.082048	0.095409	-0.010263	0.071357	-0.992824
54092	-63.0000	-0.099011	-1.260214	9.720572	0.147242	-0.109719	-0.011986	0.095390	-0.010129	0.071275	-0.992833
54093	-63.0000	-0.024497	-1.248740	9.773561	0.076667	-0.142698	0.039024	0.095451	-0.010143	0.071375	-0.992820
54094	-63.0000	0.027199	-1.302523	9.765620	0.016914	-0.102022	0.038909	0.095614	-0.010251	0.071574	-0.992789
54095	-64.0000	0.031185	-1.365656	9.810691	0.005941	-0.051494	0.092511	0.095783	-0.010484	0.071790	-0.992755
54096	-64.0000	0.016016	-1.443090	9.740348	0.010696	0.032356	0.033935	0.095855	-0.010893	0.072044	-0.992725
54097	-63.0000	0.051699	-1.478762	9.628678	-0.026179	0.075414	-0.071308	0.095896	-0.011341	0.071918	-0.992725
54098	-64.0000	0.131737	-1.309770	9.646075	-0.066327	-0.101236	-0.077958	0.095971	-0.011564	0.071554	-0.992742
54099	-64.0000	0.103624	-1.196362	9.671350	-0.014906	-0.204798	-0.069235	0.096086	-0.011559	0.071451	-0.992738
54100	-63.0000	0.004985	-1.245535	9.697797	0.073887	-0.142739	-0.036552	0.096231	-0.011614	0.071654	-0.992709
54101	-64.0000	0.011572	-1.305847	9.717838	0.059825	-0.091873	-0.008111	0.096457	-0.011867	0.071848	-0.992670
54102	-64.0000	0.056184	-1.372782	9.672836	0.007509	-0.029658	-0.042809	0.096720	-0.012218	0.071757	-0.992646
54103	-63.0000	0.114460	-1.340132	9.690893	-0.037608	-0.071958	-0.029239	0.097094	-0.012478	0.071565	-0.992620
54104	-64.0000	0.065044	-1.334150	9.728383	0.016149	-0.072480	0.006687	0.097387	-0.012559	0.071680	-0.992583
54105	-64.0000	-0.007331	-1.467711	9.697903	0.062364	0.073005	-0.004817	0.097681	-0.012683	0.071838	-0.992541
54106	-64.0000	0.059946	-1.501793	9.702038	-0.008013	0.092744	0.004636	0.098025	-0.012820	0.071654	-0.992518
54107	-64.0000	0.090326	-1.433683	9.669599	-0.023777	0.031090	-0.037043	0.098350	-0.013005	0.071252	-0.992513
54108	-64.0000	0.085202	-1.374528	9.674839	-0.004561	-0.020703	-0.040347	0.098671	-0.013179	0.071127	-0.992487
54109	-64.0000	0.050350	-1.573414	9.625260	-0.008391	0.186676	-0.061335	0.098934	-0.013300	0.071205	-0.992454
54110	-65.0000	0.061681	-1.639095	9.568723	-0.032182	0.259703	-0.107925	0.099107	-0.013480	0.070762	-0.992466
54111	-64.0000	0.159563	-1.410741	9.559837	-0.082301	0.031954	-0.148407	0.099229	-0.013624	0.069982	-0.992507
54112	-64.0000	0.191824	-1.284431	9.610336	-0.087955	-0.093300	-0.115849	0.099303	-0.013546	0.069664	-0.992523
54113	-64.0000	0.166558	-1.350986	9.678704	-0.077813	-0.032878	-0.039097	0.099341	-0.013211	0.069929	-0.992505
54114	-64.0000	0.060014	-1.525671	9.753226	-0.011887	0.141613	0.058304	0.099310	-0.012769	0.070214	-0.992494
54115	-64.0000	-0.017400	-1.491057	9.842786	0.066422	0.109167	0.141590	0.099306	-0.012438	0.070052	-0.992510
54116	-65.0000	0.006248	-1.421382	9.810402	0.050574	0.047507	0.099907	0.099387	-0.012322	0.069540	-0.992540
54117	-65.0000	0.048093	-1.346107	9.831522	0.023543	-0.025595	0.110614	0.099561	-0.012416	0.068924	-0.992564
54118	-65.0000	0.120504	-1.351262	9.839487	-0.046687	-0.026555	0.119737	0.099775	-0.012595	0.068595	-0.992563
54119	-66.0000	0.146245	-1.446116	9.824957	-0.088990	0.066164	0.118583	0.099968	-0.012688	0.068555	-0.992545
54120	-65.0000	0.055031	-1.519840	9.790395	-0.013813	0.160234	0.093821	0.099987	-0.012763	0.068637	-0.992537
54121	-65.0000	0.106549	-1.590750	9.687006	-0.079714	0.233917	0.001530	0.099942	-0.012912	0.068438	-0.992553
54122	-65.0000	0.096413	-1.509083	9.548193	-0.055192	0.185050	-0.147424	0.099885	-0.013204	0.067652	-0.992609
54123	-65.0000	0.121606	-1.270810	9.513119	-0.030621	-0.031227	-0.214393	0.099855	-0.013450	0.066879	-0.992661
54124	-64.0000	0.227959	-1.252314	9.535526	-0.129263	-0.063783	-0.193658	0.099781	-0.013416	0.066676	-0.992682
54125	-65.0000	0.147811	-1.381831	9.532582	-0.079726	0.081107	-0.180009	0.099651	-0.013101	0.066573	-0.992707
54126	-64.0000	0.109220	-1.391245	9.631190	-0.048006	0.089434	-0.081449	0.099484	-0.012643	0.066170	-0.992756
54127	-65.0000	0.077036	-1.277692	9.716050	-0.000955	-0.015435	-0.012698	0.099357	-0.012201	0.065471	-0.992821
