// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-54.0000	-9.816793	0.132357	-0.679115	-0.058985	0.018744	0.028263	-0.351139	-0.634119	-0.363969	0.584911
54079	-54.0000	-9.789800	0.139160	-0.658058	-0.060622	0.002428	0.000004	-0.351184	-0.634060	-0.363815	0.585045
54080	-55.0000	-9.791813	0.168629	-0.660986	-0.032460	-0.005542	0.002804	-0.351255	-0.633967	-0.363668	0.585193
54081	-55.0000	-9.790339	0.141034	-0.649592	-0.060355	0.002583	0.000006	-0.351322	-0.633858	-0.363508	0.585370
54082	-54.0000	-9.748855	0.148707	-0.626238	-0.061005	-0.014966	-0.042810	-0.351332	-0.633782	-0.363316	0.585566
54083	-54.0000	-9.770671	0.186286	-0.587844	-0.046160	-0.063774	-0.022893	-0.351344	-0.633715	-0.363139	0.585742
54084	-55.0000	-9.740965	0.174838	-0.577794	-0.057808	-0.062049	-0.053403	-0.351336	-0.633649	-0.363013	0.585896
54085	-54.0000	-9.742013	0.189020	-0.578502	-0.043625	-0.065891	-0.052002	-0.351329	-0.633608	-0.362914	0.586006
54086	-54.0000	-9.794941	0.149246	-0.603846	-0.067738	-0.024935	0.001719	-0.351305	-0.633600	-0.362778	0.586112
54087	-55.0000	-9.826684	0.139604	-0.573095	-0.092044	-0.046474	0.031144	-0.351281	-0.633588	-0.362654	0.586217
54088	-54.0000	-9.815513	0.105844	-0.652284	-0.081358	0.041820	0.024619	-0.351277	-0.633544	-0.362530	0.586344
54089	-55.0000	-9.802954	0.136215	-0.654740	-0.052083	0.032773	0.012859	-0.351311	-0.633502	-0.362373	0.586466
54090	-55.0000	-9.764783	0.150931	-0.604511	-0.060908	-0.012859	-0.028244	-0.351339	-0.633445	-0.362211	0.586609
54091	-54.0000	-9.768413	0.158372	-0.572954	-0.068997	-0.040767	-0.026533	-0.351401	-0.633376	-0.362112	0.586709
54092	-55.0000	-9.762726	0.227150	-0.540202	-0.023887	-0.100005	-0.032930	-0.351440	-0.633329	-0.362028	0.586788
54093	-55.0000	-9.751696	0.235378	-0.509188	-0.030852	-0.129270	-0.045774	-0.351446	-0.633314	-0.362029	0.586800
54094	-54.0000	-9.776415	0.211531	-0.537299	-0.038719	-0.094655	-0.019769	-0.351482	-0.633268	-0.362158	0.586748
54095	-55.0000	-9.782239	0.167437	-0.589846	-0.051285	-0.029111	-0.011429	-0.351452	-0.633260	-0.362276	0.586702
54096	-55.0000	-9.770196	0.159660	-0.558295	-0.072280	-0.054246	-0.025668	-0.351375	-0.633276	-0.362350	0.586685
54097	-54.0000	-9.754810	0.195422	-0.597446	-0.020724	-0.039293	-0.037746	-0.351280	-0.633316	-0.362433	0.586648
54098	-55.0000	-9.780222	0.159493	-0.610051	-0.046765	-0.014762	-0.012283	-0.351214	-0.633328	-0.362571	0.586590
54099	-55.0000	-9.768156	0.151194	-0.579234	-0.067717	-0.039965	-0.026520	-0.351145	-0.633331	-0.362729	0.586530
54100	-55.0000	-9.795271	0.118413	-0.577954	-0.097780	-0.029442	-0.000198	-0.351095	-0.633350	-0.362876	0.586448
54101	-54.0000	-9.821639	0.146779	-0.636321	-0.045519	0.003241	0.030532	-0.351038	-0.633348	-0.363039	0.586383
54102	-54.0000	-9.775337	0.131049	-0.644705	-0.052021	0.017746	-0.015391	-0.350953	-0.633355	-0.363139	0.586365
54103	-55.0000	-9.754141	0.184290	-0.611725	-0.019796	-0.038647	-0.037742	-0.350826	-0.633408	-0.363219	0.586334
54104	-55.0000	-9.753066	0.142988	-0.589717	-0.065842	-0.040504	-0.041069	-0.350753	-0.633408	-0.363355	0.586293
54105	-55.0000	-9.781061	0.124346	-0.591834	-0.081871	-0.033960	-0.013349	-0.350658	-0.633455	-0.363465	0.586231
54106	-56.0000	-9.765584	0.159989	-0.631924	-0.030358	-0.019022	-0.025437	-0.350569	-0.633492	-0.363603	0.586158
54107	-55.0000	-9.780787	0.145909	-0.618916	-0.049428	-0.027659	-0.011415	-0.350508	-0.633510	-0.363772	0.586071
54108	-55.0000	-9.841241	0.106373	-0.575493	-0.108012	-0.052722	0.045207	-0.350434	-0.633565	-0.363900	0.585976
54109	-54.0000	-9.833302	0.024907	-0.725394	-0.105929	0.115090	0.046124	-0.350356	-0.633599	-0.363982	0.585935
54110	-55.0000	-9.789459	0.105730	-0.649898	-0.069880	0.010031	-0.001364	-0.350252	-0.633662	-0.363972	0.585935
54111	-55.0000	-9.763078	0.150542	-0.658655	-0.025458	-0.004225	-0.026293	-0.350230	-0.633689	-0.364016	0.585892
54112	-55.0000	-9.775679	0.120271	-0.654689	-0.054418	0.005116	-0.014524	-0.350166	-0.633711	-0.364045	0.585888
54113	-55.0000	-9.766455	0.130762	-0.611973	-0.065467	-0.038009	-0.026497	-0.350098	-0.633754	-0.364055	0.585877
54114	-55.0000	-9.764582	0.126879	-0.627572	-0.061209	-0.023842	-0.027357	-0.350030	-0.633793	-0.364075	0.585863
54115	-55.0000	-9.777977	0.188437	-0.554726	-0.043711	-0.119988	-0.018008	-0.349962	-0.633835	-0.364151	0.585811
54116	-54.0000	-9.758831	0.167838	-0.580698	-0.048301	-0.088894	-0.035678	-0.349891	-0.633886	-0.364252	0.585735
54117	-55.0000	-9.794953	0.124513	-0.624027	-0.067206	-0.034984	0.002621	-0.349842	-0.633931	-0.364384	0.585634
54118	-55.0000	-9.790231	0.102537	-0.652148	-0.072903	-0.002815	-0.000495	-0.349750	-0.633994	-0.364492	0.585553
54119	-55.0000	-9.804560	0.125035	-0.677902	-0.041633	0.004472	0.015987	-0.349664	-0.634045	-0.364612	0.585474
54120	-55.0000	-9.774443	0.112314	-0.674272	-0.053323	0.006131	-0.014519	-0.349634	-0.634074	-0.364737	0.585383
54121	-55.0000	-9.715347	0.127259	-0.688271	-0.030687	0.011419	-0.072214	-0.349579	-0.634093	-0.364879	0.585307
54122	-55.0000	-9.758814	0.199618	-0.622967	-0.001224	-0.086331	-0.032354	-0.349472	-0.634148	-0.364985	0.585244
54123	-55.0000	-9.764878	0.118869	-0.638966	-0.064149	-0.036889	-0.026484	-0.349401	-0.634177	-0.365160	0.585147
54124	-54.0000	-9.842691	0.120179	-0.608023	-0.081863	-0.072718	0.048890	-0.349279	-0.634252	-0.365291	0.585056
54125	-55.0000	-9.795273	0.115476	-0.635589	-0.070276	-0.048298	0.003494	-0.349157	-0.634310	-0.365464	0.584958
54126	-55.0000	-9.751540	0.141945	-0.655880	-0.034677	-0.045842	-0.038254	-0.349010	-0.634359	-0.365658	0.584872
54127	-54.0000	-9.734912	0.137354	-0.672997	-0.029353	-0.032790	-0.053673	-0.348905	-0.634424	-0.365874	0.584729
54128	-55.0000	-9.746303	0.116105	-0.690299	-0.040247	-0.013429	-0.041371	-0.348786	-0.634489	-0.366098	0.584590
54129	-54.0000	-9.760516	0.087163	-0.675424	-0.073309	-0.018032	-0.028732	-0.348712	-0.634513	-0.366317	0.584470
54130	-54.0000	-9.792492	0.036301	-0.748015	-0.083995	0.063934	0.007832	-0.348650	-0.634543	-0.366499	0.584360
54131	-55.0000	-9.801676	0.076086	-0.701307	-0.072260	-0.000100	0.014074	-0.348587	-0.634566	-0.366632	0.584289
54132	-55.0000	-9.758933	0.092765	-0.702717	-0.054744	-0.007713	-0.028203	-0.348494	-0.634614	-0.366753	0.584216
54133	-54.0000	-9.777972	0.085503	-0.661449	-0.082069	-0.044473	-0.012440	-0.348451	-0.634636	-0.366903	0.584124
54134	-54.0000	-9.790344	0.104698	-0.701390	-0.046754	-0.023093	0.003169	-0.348367	-0.634697	-0.367031	0.584028
54135	-55.0000	-9.791095	0.067144	-0.666338	-0.096902	-0.039040	0.000729	-0.348268	-0.634758	-0.367149	0.583947
54136	-54.0000	-9.759030	0.075737	-0.697902	-0.072355	-0.017327	-0.028724	-0.348147	-0.634802	-0.367267	0.583897
54137	-55.0000	-9.768537	0.051891	-0.727560	-0.079070	0.016074	-0.017288	-0.347998	-0.634894	-0.367322	0.583850
54138	-54.0000	-9.790460	0.087135	-0.696654	-0.064310	-0.032712	0.002648	-0.347846	-0.634969	-0.367384	0.583821
54139	-54.0000	-9.748666	0.117855	-0.701773	-0.032914	-0.044157	-0.038240	-0.347709	-0.635051	-0.367478	0.583754
54140	-54.0000	-9.747460	0.101772	-0.702242	-0.046809	-0.040029	-0.039629	-0.347590	-0.635121	-0.367631	0.583652
54141	-55.0000	-9.748127	0.113838	-0.709869	-0.032662	-0.043896	-0.038238	-0.347446	-0.635197	-0.367788	0.583557
54142	-54.0000	-9.801943	0.074768	-0.728110	-0.060871	-0.016860	0.016342	-0.347347	-0.635273	-0.367929	0.583443
54143	-54.0000	-9.826791	0.038880	-0.742552	-0.086821	0.007811	0.041810	-0.347267	-0.635323	-0.368060	0.583354
54144	-54.0000	-9.793726	0.008490	-0.749610	-0.108369	0.027596	0.009051	-0.347167	-0.635374	-0.368149	0.583303
54145	-54.0000	-9.762654	0.095516	-0.708050	-0.051282	-0.052126	-0.024198	-0.347074	-0.635452	-0.368235	0.583218
54146	-54.0000	-9.754613	0.056478	-0.746989	-0.066835	-0.001809	-0.029580	-0.347036	-0.635500	-0.368359	0.583110
