// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-63.0000	-9.746542	0.667720	-0.333410	0.005928	-0.028447	-0.037656	0.529381	0.501209	0.521162	-0.443774
54079	-63.0000	-9.805756	0.604211	-0.374874	-0.065101	0.004402	0.018599	0.529490	0.501088	0.521171	-0.443770
54080	-63.0000	-9.702232	0.578612	-0.366714	-0.082724	0.000736	-0.086653	0.529560	0.500979	0.521133	-0.443853
54081	-63.0000	-9.618404	0.614140	-0.319309	-0.036401	-0.037684	-0.169551	0.529518	0.500984	0.521145	-0.443884
54082	-63.0000	-9.694815	0.632421	-0.347755	-0.025305	-0.012624	-0.091087	0.529417	0.501049	0.521238	-0.443823
54083	-63.0000	-9.760063	0.633713	-0.356445	-0.028372	-0.009483	-0.025625	0.529321	0.501125	0.521295	-0.443785
54084	-64.0000	-9.762206	0.589190	-0.353356	-0.072175	-0.018928	-0.026621	0.529340	0.501103	0.521351	-0.443721
54085	-64.0000	-9.672382	0.588244	-0.423436	-0.074554	0.054036	-0.113624	0.529296	0.501127	0.521355	-0.443742
54086	-63.0000	-9.647388	0.545386	-0.331590	-0.105110	-0.043159	-0.144876	0.528977	0.501433	0.521302	-0.443838
54087	-64.0000	-9.771462	0.468261	-0.294523	-0.185085	-0.098603	-0.027827	0.528736	0.501691	0.521339	-0.443791
54088	-63.0000	-9.747803	0.566423	-0.396073	-0.097203	0.008717	-0.040899	0.528633	0.501851	0.521345	-0.443724
54089	-63.0000	-9.700744	0.713759	-0.324045	0.058685	-0.047760	-0.080619	0.528594	0.501938	0.521285	-0.443744
54090	-63.0000	-9.659890	0.696144	-0.260082	0.050420	-0.112639	-0.125041	0.528432	0.502076	0.521262	-0.443808
54091	-63.0000	-9.689041	0.632476	-0.259085	-0.013554	-0.124045	-0.100371	0.528252	0.502211	0.521298	-0.443826
54092	-64.0000	-9.754858	0.667322	-0.241018	0.019782	-0.145267	-0.033159	0.528097	0.502330	0.521390	-0.443769
54093	-64.0000	-9.838794	0.651616	-0.275134	-0.004682	-0.119730	0.050771	0.528196	0.502265	0.521530	-0.443559
54094	-63.0000	-9.755397	0.588293	-0.474020	-0.083931	0.075689	-0.028732	0.528494	0.501987	0.521678	-0.443345
54095	-63.0000	-9.642862	0.670785	-0.343093	0.018245	-0.039986	-0.140536	0.528422	0.502053	0.521642	-0.443399
54096	-64.0000	-9.665514	0.514398	-0.298442	-0.132875	-0.103656	-0.130362	0.528303	0.502099	0.521812	-0.443288
54097	-63.0000	-9.752704	0.549789	-0.350700	-0.107699	-0.056117	-0.038960	0.528163	0.502223	0.521878	-0.443236
54098	-64.0000	-9.760135	0.697808	-0.350595	0.039031	-0.043295	-0.021534	0.528261	0.502107	0.521966	-0.443148
54099	-64.0000	-9.692841	0.709634	-0.274022	0.063232	-0.114306	-0.090919	0.528277	0.502073	0.521963	-0.443171
54100	-65.0000	-9.721769	0.634832	-0.280365	-0.012977	-0.117599	-0.066898	0.528265	0.502040	0.522096	-0.443067
54101	-63.0000	-9.758331	0.564256	-0.362525	-0.093195	-0.047107	-0.031894	0.528238	0.502031	0.522227	-0.442954
54102	-63.0000	-9.771015	0.553849	-0.468116	-0.115670	0.055601	-0.015639	0.528461	0.501832	0.522344	-0.442776
54103	-63.0000	-9.645785	0.584902	-0.548166	-0.086285	0.146456	-0.135143	0.528606	0.501706	0.522314	-0.442781
54104	-63.0000	-9.620444	0.642033	-0.411985	-0.013513	0.019358	-0.162075	0.528551	0.501718	0.522342	-0.442800
54105	-64.0000	-9.700921	0.573240	-0.429119	-0.087776	0.023046	-0.085798	0.528375	0.501864	0.522413	-0.442760
54106	-63.0000	-9.761048	0.627712	-0.479796	-0.042505	0.072620	-0.020078	0.528296	0.501957	0.522452	-0.442703
54107	-63.0000	-9.683027	0.673768	-0.444394	0.011142	0.044894	-0.096190	0.528395	0.501916	0.522460	-0.442622
54108	-64.0000	-9.657935	0.598528	-0.378381	-0.055880	-0.027890	-0.129031	0.528355	0.501981	0.522486	-0.442566
54109	-64.0000	-9.714349	0.500239	-0.290895	-0.147356	-0.131187	-0.083118	0.528110	0.502185	0.522552	-0.442548
54110	-64.0000	-9.801635	0.547204	-0.334479	-0.110200	-0.091663	0.008861	0.527986	0.502316	0.522596	-0.442496
54111	-64.0000	-9.723607	0.631987	-0.369571	-0.025131	-0.045837	-0.061698	0.528008	0.502328	0.522563	-0.442496
54112	-64.0000	-9.625923	0.638937	-0.354623	-0.010937	-0.055212	-0.159231	0.528017	0.502327	0.522584	-0.442461
54113	-64.0000	-9.715363	0.642804	-0.389538	-0.016235	-0.026579	-0.068344	0.527832	0.502508	0.522590	-0.442470
54114	-64.0000	-9.757560	0.564744	-0.395524	-0.096516	-0.034774	-0.031337	0.527661	0.502661	0.522672	-0.442403
54115	-63.0000	-9.745459	0.602334	-0.538693	-0.073315	0.108233	-0.034657	0.527604	0.502739	0.522726	-0.442319
54116	-64.0000	-9.671982	0.694896	-0.423004	0.035100	0.004105	-0.106617	0.527451	0.502917	0.522637	-0.442403
54117	-64.0000	-9.705058	0.617465	-0.289130	-0.030043	-0.140714	-0.084774	0.527377	0.503005	0.522695	-0.442322
54118	-64.0000	-9.782049	0.598196	-0.411384	-0.066870	-0.027982	-0.004002	0.527274	0.503118	0.522724	-0.442283
54119	-64.0000	-9.704533	0.705296	-0.428229	0.042608	0.001417	-0.073233	0.527226	0.503166	0.522749	-0.442256
54120	-64.0000	-9.657940	0.645403	-0.381985	-0.009112	-0.050373	-0.125807	0.527153	0.503247	0.522808	-0.442181
54121	-65.0000	-9.688083	0.627565	-0.344225	-0.024561	-0.094279	-0.098688	0.527084	0.503290	0.522933	-0.442067
54122	-64.0000	-9.680874	0.611816	-0.445958	-0.049930	0.002410	-0.102382	0.527016	0.503347	0.523025	-0.441974
54123	-65.0000	-9.760858	0.654850	-0.414549	-0.008926	-0.031717	-0.021164	0.526935	0.503428	0.523103	-0.441886
54124	-65.0000	-9.809804	0.570068	-0.501842	-0.105527	0.042070	0.025817	0.527028	0.503350	0.523193	-0.441757
54125	-64.0000	-9.730692	0.681441	-0.453984	0.015125	0.008651	-0.047621	0.526844	0.503515	0.523147	-0.441843
54126	-64.0000	-9.692902	0.681328	-0.435770	0.020144	-0.009973	-0.086129	0.526832	0.503471	0.523333	-0.441686
54127	-65.0000	-9.687595	0.621953	-0.530767	-0.047780	0.075912	-0.091062	0.526764	0.503528	0.523410	-0.441612
54128	-65.0000	-9.659993	0.678202	-0.442344	0.018997	-0.007808	-0.118841	0.526744	0.503554	0.523548	-0.441443
54129	-65.0000	-9.690999	0.633779	-0.487656	-0.031897	0.027312	-0.088841	0.526743	0.503540	0.523757	-0.441213
54130	-65.0000	-9.692155	0.567242	-0.505601	-0.099917	0.034177	-0.091365	0.526704	0.503573	0.523926	-0.441021
54131	-65.0000	-9.749949	0.553349	-0.452053	-0.111468	-0.027866	-0.037267	0.526566	0.503694	0.524030	-0.440922
54132	-65.0000	-9.753360	0.553869	-0.413967	-0.106543	-0.069890	-0.035677	0.526420	0.503816	0.524088	-0.440888
54133	-65.0000	-9.724233	0.614778	-0.423748	-0.044814	-0.055522	-0.060092	0.526275	0.503957	0.524098	-0.440889
54134	-65.0000	-9.715278	0.652719	-0.360874	0.000651	-0.116892	-0.069524	0.526092	0.504114	0.524127	-0.440894
54135	-65.0000	-9.740444	0.587919	-0.405095	-0.069518	-0.084628	-0.046726	0.525974	0.504244	0.524182	-0.440820
54136	-65.0000	-9.722969	0.589194	-0.457378	-0.072622	-0.034508	-0.061482	0.525862	0.504362	0.524177	-0.440826
54137	-65.0000	-9.715339	0.623127	-0.457719	-0.038299	-0.033172	-0.066763	0.525674	0.504557	0.524160	-0.440847
54138	-65.0000	-9.785357	0.660245	-0.396087	0.000675	-0.097449	0.002430	0.525579	0.504665	0.524159	-0.440837
54139	-65.0000	-9.774943	0.577105	-0.551382	-0.097605	0.048186	-0.005815	0.525629	0.504632	0.524170	-0.440803
54140	-66.0000	-9.642430	0.653518	-0.455513	-0.003933	-0.030910	-0.137458	0.525642	0.504645	0.524086	-0.440873
54141	-66.0000	-9.626705	0.599858	-0.507974	-0.061774	0.016329	-0.154156	0.525572	0.504706	0.524131	-0.440831
54142	-66.0000	-9.753317	0.639861	-0.475828	-0.026149	-0.021466	-0.026888	0.525383	0.504879	0.524127	-0.440864
54143	-66.0000	-9.750530	0.633008	-0.586508	-0.044469	0.086394	-0.024527	0.525485	0.504820	0.524173	-0.440755
54144	-66.0000	-9.725580	0.670256	-0.630641	-0.012015	0.136216	-0.044619	0.525699	0.504669	0.524230	-0.440605
54145	-66.0000	-9.638928	0.634078	-0.583237	-0.039005	0.091239	-0.135844	0.525776	0.504637	0.524261	-0.440513
54146	-66.0000	-9.678930	0.638661	-0.502724	-0.029346	0.006783	-0.099737	0.525681	0.504754	0.524389	-0.440340
54147	-66.0000	-9.745312	0.647803	-0.568817	-0.031945	0.065065	-0.029587	0.525607	0.504863	0.524470	-0.440206
54148	-66.0000	-9.690063	0.651453	-0.597715	-0.028698	0.094715	-0.082879	0.525617	0.504903	0.524497	-0.440118
54149	-66.0000	-9.654377	0.636546	-0.489477	-0.030688	-0.014024	-0.125033	0.525548	0.505009	0.524501	-0.440073
54150	-66.0000	-9.732827	0.561979	-0.454122	-0.106285	-0.064336	-0.053869	0.525403	0.505170	0.524534	-0.440021
54151	-66.0000	-9.806144	0.551755	-0.450554	-0.121157	-0.076541	0.018251	0.525346	0.505267	0.524570	-0.439936
54152	-66.0000	-9.728213	0.622061	-0.556832	-0.058982	0.039622	-0.048974	0.525470	0.505238	0.524556	-0.439838
54153	-66.0000	-9.646663	0.683377	-0.489224	0.012238	-0.016237	-0.129504	0.525562	0.505219	0.524568	-0.439734
54154	-66.0000	-9.649873	0.601310	-0.415634	-0.062941	-0.099297	-0.135883	0.525490	0.505342	0.524585	-0.439659
54155	-66.0000	-9.732892	0.585629	-0.452136	-0.087983	-0.073016	-0.052385	0.525345	0.505488	0.524644	-0.439594
54156	-66.0000	-9.756120	0.602898	-0.410514	-0.068027	-0.116994	-0.030276	0.525265	0.505595	0.524633	-0.439580
54157	-66.0000	-9.773314	0.662335	-0.416390	-0.011638	-0.106561	-0.008696	0.525336	0.505585	0.524579	-0.439571
54158	-66.0000	-9.774107	0.658125	-0.480196	-0.023893	-0.042353	-0.004807	0.525474	0.505508	0.524569	-0.439507
54159	-66.0000	-9.726449	0.626919	-0.509046	-0.056098	-0.012586	-0.052940	0.525495	0.505543	0.524473	-0.439556
54160	-66.0000	-9.697323	0.616046	-0.473345	-0.062157	-0.047534	-0.084609	0.525474	0.505602	0.524486	-0.439498
54161	-66.0000	-9.681552	0.620529	-0.641469	-0.075285	0.119890	-0.091116	0.525561	0.505562	0.524536	-0.439380
54162	-66.0000	-9.675417	0.689315	-0.611062	-0.004577	0.096618	-0.093999	0.525581	0.505594	0.524512	-0.439348
54163	-66.0000	-9.707624	0.706176	-0.542623	0.016294	0.028492	-0.064353	0.525637	0.505584	0.524506	-0.439300
54164	-66.0000	-9.732154	0.658396	-0.510553	-0.030648	-0.009926	-0.044989	0.525689	0.505605	0.524515	-0.439203
54165	-66.0000	-9.701827	0.671754	-0.618308	-0.028538	0.099518	-0.068547	0.525805	0.505563	0.524570	-0.439047
54166	-66.0000	-9.663302	0.651784	-0.615690	-0.047625	0.096896	-0.108480	0.525932	0.505537	0.524593	-0.438897
54167	-65.0000	-9.645826	0.593298	-0.614289	-0.106399	0.089584	-0.130127	0.525954	0.505597	0.524614	-0.438777
54168	-66.0000	-9.722488	0.662767	-0.544793	-0.036446	0.020395	-0.052508	0.525809	0.505807	0.524574	-0.438755
54169	-65.0000	-9.797963	0.682440	-0.575924	-0.026192	0.046603	0.025739	0.525801	0.505874	0.524541	-0.438727
54170	-65.0000	-9.731477	0.746145	-0.559289	0.042059	0.040214	-0.036809	0.525805	0.505929	0.524483	-0.438728
54171	-65.0000	-9.658828	0.705829	-0.508816	0.011083	-0.010088	-0.114758	0.525813	0.505972	0.524488	-0.438663
54172	-66.0000	-9.670820	0.668618	-0.536356	-0.030732	0.010923	-0.104010	0.525824	0.506023	0.524551	-0.438516
54173	-66.0000	-9.705963	0.622620	-0.599853	-0.086876	0.065681	-0.068903	0.525882	0.506040	0.524554	-0.438423
54174	-66.0000	-9.666305	0.667919	-0.584997	-0.039117	0.057564	-0.105940	0.525887	0.506094	0.524505	-0.438413
54175	-68.0000	-9.714417	0.710500	-0.549227	0.002715	0.022833	-0.056877	0.525854	0.506180	0.524468	-0.438398
54176	-68.0000	-9.735357	0.687452	-0.478926	-0.015014	-0.051306	-0.041491	0.525867	0.506208	0.524449	-0.438372
54177	-69.0000	-9.725343	0.665493	-0.523383	-0.041408	-0.009233	-0.050654	0.525815	0.506289	0.524404	-0.438395
54178	-71.0000	-9.730974	0.685024	-0.527158	-0.023448	-0.004719	-0.043428	0.525868	0.506269	0.524467	-0.438278
54179	-71.0000	-9.690361	0.691608	-0.604090	-0.023201	0.074340	-0.079225	0.525903	0.506273	0.524458	-0.438244
54180	-71.0000	-9.637280	0.666919	-0.550868	-0.039142	0.021800	-0.136769	0.525898	0.506296	0.524475	-0.438204
54181	-69.0000	-9.729171	0.649963	-0.561574	-0.063509	0.024329	-0.045909	0.525831	0.506389	0.524422	-0.438239
54182	-68.0000	-9.735865	0.692109	-0.545915	-0.021175	0.012519	-0.037029	0.525839	0.506443	0.524334	-0.438274
54183	-66.0000	-9.705798	0.731439	-0.569630	0.016393	0.042875	-0.062821	0.525851	0.506472	0.524237	-0.438339
54184	-67.0000	-9.660541	0.756210	-0.552586	0.045076	0.031643	-0.107007	0.525834	0.506536	0.524194	-0.438338
54185	-66.0000	-9.637968	0.687726	-0.540413	-0.020671	0.013191	-0.135144	0.525826	0.506559	0.524235	-0.438272
54186	-67.0000	-9.737215	0.635935	-0.556256	-0.080628	0.015990	-0.039231	0.525771	0.506626	0.524255	-0.438236
54187	-67.0000	-9.765537	0.650535	-0.532271	-0.065929	-0.008504	-0.011269	0.525813	0.506615	0.524219	-0.438242
